"Gemeente";"Jaar";"Totale bevolking";"Bevolkingsdichtheid";"Gemiddelde huishoudensgrootte";"Nieuwbouwwoningen";"Particuliere huishoudens";"Inkomen"
"Noord-Beveland";"2017";"7382";"86";"2,07";"46";"3,5";"40,0"
"Noordenveld";"2017";"32981";"165";"2,23";"27";"13,7";"42,3"
"Noorder-Koggenland";"2017";"";"";"";"";"";""
"Noordoostpolder";"2017";"46544";"101";"2,40";"253";"18,7";"41,5"
"Noordwijk";"2017";"25867";"723";"2,14";"19";"11,5";"48,9"
"Noordwijkerhout";"2017";"16318";"722";"2,27";"78";"7,0";"46,0"
"Nootdorp";"2017";"";"";"";"";"";""
"Norg";"2017";"";"";"";"";"";""
"Nuenen, Gerwen en Nederwetten";"2017";"22866";"678";"2,29";"96";"9,9";"50,0"
"Nunspeet";"2017";"26892";"209";"2,51";"157";"10,4";"44,8"
"Nuth";"2017";"15305";"462";"2,19";"15";"6,8";"43,1"
"Obdam";"2017";"";"";"";"";"";""
"Odoorn";"2017";"";"";"";"";"";""
"Oegstgeest";"2017";"23608";"3235";"2,24";"17";"10,1";"56,6"
"Oirschot";"2017";"18499";"182";"2,44";"80";"7,4";"49,3"
"Oisterwijk";"2017";"25936";"406";"2,28";"151";"11,0";"49,7"
"Oldambt";"2017";"38108";"168";"2,10";"41";"17,8";"34,9"
"Oldebroek";"2017";"23256";"238";"2,55";"66";"8,9";"42,5"
"Oldenzaal";"2017";"32006";"1485";"2,27";"79";"13,8";"40,7"
"Olst";"2017";"";"";"";"";"";""
"Olst-Wijhe";"2017";"17957";"158";"2,39";"74";"7,3";"45,0"
"Ommen";"2017";"17531";"97";"2,39";"105";"7,1";"43,5"
"Onderbanken";"2017";"7865";"372";"2,25";"2";"3,5";"40,3"
"Oost Gelre";"2017";"29634";"270";"2,36";"45";"12,2";"43,5"
"Oost-, West- en Middelbeers";"2017";"";"";"";"";"";""
"Oostburg";"2017";"";"";"";"";"";""
"Oosterhesselen";"2017";"";"";"";"";"";""
"Oosterhout";"2017";"54604";"764";"2,23";"256";"24,1";"42,7"
"Oostflakkee";"2017";"";"";"";"";"";""
"Ooststellingwerf";"2017";"25540";"114";"2,23";"27";"11,0";"38,7"
"Oostzaan";"2017";"9652";"837";"2,36";"30";"4,0";"48,3"
"Ootmarsum";"2017";"";"";"";"";"";""
"Opmeer";"2017";"11420";"275";"2,41";"41";"4,7";"45,5"
"Opsterland";"2017";"29718";"132";"2,35";"61";"12,3";"41,7"
"Oss";"2017";"90376";"554";"2,28";"293";"39,0";"42,4"
"Ossendrecht";"2017";"";"";"";"";"";""
"Oud en Nieuw Gastel";"2017";"";"";"";"";"";""
"Oud-Beijerland";"2017";"24015";"1282";"2,38";"32";"10,0";"46,7"
"Oude IJsselstreek";"2017";"39568";"290";"2,30";"31";"16,8";"40,0"
"Oudenbosch";"2017";"";"";"";"";"";""
"Ouder-Amstel";"2017";"13419";"557";"2,23";"54";"5,8";"53,0"
"Ouderkerk";"2017";"";"";"";"";"";""
"Oudewater";"2017";"10187";"261";"2,39";"11";"4,2";"50,1"
"Overbetuwe";"2017";"47394";"434";"2,43";"118";"19,1";"45,7"
"Papendrecht";"2017";"32292";"3430";"2,29";"48";"14,0";"43,7"
"Peel en Maas";"2017";"43347";"272";"2,39";"96";"17,8";"44,6"
"Peize";"2017";"";"";"";"";"";""
"Pekela";"2017";"12517";"255";"2,21";"15";"5,4";"34,9"
"Pijnacker";"2017";"";"";"";"";"";""
"Pijnacker-Nootdorp";"2017";"52656";"1411";"2,56";"340";"20,0";"52,5"
"Prinsenbeek";"2017";"";"";"";"";"";""
"Purmerend";"2017";"79928";"3446";"2,21";"58";"35,4";"41,1"
"Putte";"2017";"";"";"";"";"";""
"Putten";"2017";"24428";"287";"2,49";"80";"9,7";"47,0"
"Raalte";"2017";"36907";"216";"2,40";"165";"15,1";"43,8"
"Raamsdonk";"2017";"";"";"";"";"";""
"Ravenstein";"2017";"";"";"";"";"";""
"Reeuwijk";"2017";"";"";"";"";"";""
"Reiderland";"2017";"";"";"";"";"";""
"Reimerswaal";"2017";"22356";"220";"2,52";"121";"8,7";"42,8"
"Renkum";"2017";"31391";"683";"2,11";"80";"14,3";"44,7"
"Renswoude";"2017";"5101";"277";"2,70";"93";"1,9";"."
"Reusel";"2017";"";"";"";"";"";""
"Reusel-De Mierden";"2017";"12908";"166";"2,42";"49";"5,3";"47,1"
"Rheden";"2017";"43645";"534";"2,04";"40";"20,2";"39,7"
"Rhenen";"2017";"19597";"466";"2,41";"81";"8,0";"44,8"
"Ridderkerk";"2017";"45408";"1915";"2,20";"213";"20,4";"41,0"
"Riethoven";"2017";"";"";"";"";"";""
"Rijnsburg";"2017";"";"";"";"";"";""
"Rijnwaarden";"2017";"10852";"274";"2,29";"7";"4,7";"39,2"
"Rijnwoude";"2017";"";"";"";"";"";""
"Rijsbergen";"2017";"";"";"";"";"";""
"Rijssen";"2017";"";"";"";"";"";""
"Rijssen-Holten";"2017";"37983";"404";"2,68";"160";"14,0";"45,6"
"Rijswijk (ZH.)";"2017";"51027";"3632";"1,96";"277";"25,0";"39,6"
"Roden";"2017";"";"";"";"";"";""
"Roerdalen";"2017";"20700";"235";"2,19";"33";"9,1";"41,6"
"Roermond";"2017";"57390";"943";"2,07";"128";"27,0";"37,7"
"Roggel en Neer";"2017";"";"";"";"";"";""
"Rolde";"2017";"";"";"";"";"";""
"De Ronde Venen";"2017";"42763";"428";"2,34";"360";"18,0";"53,0"
"Roosendaal";"2017";"77163";"725";"2,20";"53";"34,0";"40,4"
"Roosendaal en Nispen";"2017";"";"";"";"";"";""
"Rosmalen";"2017";"";"";"";"";"";""
"Rossum";"2017";"";"";"";"";"";""
"Rotterdam";"2017";"634660";"2943";"1,95";"1526";"299,3";"35,5"
"Rozenburg";"2017";"";"";"";"";"";""
"Rozendaal";"2017";"1498";"54";"2,34";"27";"0,6";"."
"Rucphen";"2017";"22345";"347";"2,31";"33";"9,5";"42,1"
"Ruinen";"2017";"";"";"";"";"";""
"Ruinerwold";"2017";"";"";"";"";"";""
"Ruurlo";"2017";"";"";"";"";"";""
"Sas van Gent";"2017";"";"";"";"";"";""
"Sassenheim";"2017";"";"";"";"";"";""
"Schagen";"2017";"46193";"275";"2,27";"118";"19,9";"43,4"
"Scheemda";"2017";"";"";"";"";"";""
"Schermer";"2017";"";"";"";"";"";""
"Scherpenzeel";"2017";"9704";"704";"2,51";"98";"3,8";"45,4"
"Schiedam";"2017";"77838";"4323";"2,09";"89";"35,8";"36,7"
"Schiermonnikoog";"2017";"941";"25";"1,84";"9";"0,5";"."
"Schijndel";"2017";"";"";"";"";"";""
"Schinnen";"2017";"12954";"538";"2,23";"5";"5,7";"43,9"
"Schipluiden";"2017";"";"";"";"";"";""
"Schoonebeek";"2017";"";"";"";"";"";""
"Schoonhoven";"2017";"";"";"";"";"";""
"Schoorl";"2017";"";"";"";"";"";""
"Schouwen-Duiveland";"2017";"33765";"147";"2,17";"113";"15,3";"43,3"
"Sevenum";"2017";"";"";"";"";"";""
"Simpelveld";"2017";"10571";"659";"2,15";"6";"4,8";"39,7"
"Sint Anthonis";"2017";"11594";"117";"2,45";"32";"4,6";"48,5"
"Sint-Michielsgestel";"2017";"28584";"489";"2,42";"233";"11,6";"49,5"
"Sint-Oedenrode";"2017";"";"";"";"";"";""
"Sittard";"2017";"";"";"";"";"";""
"Sittard-Geleen";"2017";"93319";"1181";"2,03";"163";"44,2";"38,0"
"Skarsterlân";"2017";"";"";"";"";"";""
"Sleen";"2017";"";"";"";"";"";""
"Sliedrecht";"2017";"25012";"1949";"2,33";"26";"10,3";"40,6"
"Slochteren";"2017";"14737";"110";"2,33";"14";"6,2";"42,0"
"Sluis";"2017";"23658";"85";"2,07";"10";"11,2";"39,6"
"Sluis-Aardenburg";"2017";"";"";"";"";"";""
"Smallingerland";"2017";"55695";"473";"2,21";"126";"24,3";"37,7"
"Smilde";"2017";"";"";"";"";"";""
"Sneek";"2017";"";"";"";"";"";""
"Soest";"2017";"45874";"992";"2,25";"120";"20,0";"47,2"
"Someren";"2017";"19036";"237";"2,38";"104";"7,8";"45,7"
"Son en Breugel";"2017";"16626";"641";"2,37";"92";"6,9";"50,2"
"Spijkenisse";"2017";"";"";"";"";"";""
"Sprang-Capelle";"2017";"";"";"";"";"";""
"St. Anthonis";"2017";"";"";"";"";"";""
"Stad Delden";"2017";"";"";"";"";"";""
"Stadskanaal";"2017";"32252";"274";"2,17";"14";"14,4";"35,5"
"Standdaarbuiten";"2017";"";"";"";"";"";""
"Staphorst";"2017";"16691";"124";"2,91";"113";"5,7";"47,6"
"Stede Broec";"2017";"21552";"1481";"2,36";"78";"9,0";"41,6"
"Steenbergen";"2017";"23970";"164";"2,26";"76";"10,1";"42,5"
"Steenderen";"2017";"";"";"";"";"";""
"Steenwijk";"2017";"";"";"";"";"";""
"Steenwijkerland";"2017";"43448";"150";"2,28";"134";"18,7";"40,1"
"Stein (L.)";"2017";"25059";"1187";"2,18";"14";"11,4";"40,7"
"Stichtse Vecht";"2017";"64450";"670";"2,30";"57";"27,4";"50,3"
"Stramproy";"2017";"";"";"";"";"";""
"Strijen";"2017";"8785";"175";"2,28";"15";"3,8";"45,5"
"Súdwest-Fryslân";"2017";"84158";"185";"2,24";"209";"36,7";"39,3"
"Susteren";"2017";"";"";"";"";"";""
"Swalmen";"2017";"";"";"";"";"";""
"Tegelen";"2017";"";"";"";"";"";""
"Terheijden";"2017";"";"";"";"";"";""
"Terneuzen";"2017";"54588";"218";"2,12";"127";"25,1";"39,1"
"Terschelling";"2017";"4859";"58";"1,87";"28";"2,2";"."
"Teteringen";"2017";"";"";"";"";"";""
"Texel";"2017";"13545";"84";"2,14";"49";"6,2";"41,5"
"Teylingen";"2017";"36093";"1269";"2,35";"347";"14,9";"51,5"
"Tholen";"2017";"25527";"174";"2,46";"49";"10,3";"42,2"
"Thorn";"2017";"";"";"";"";"";""
"Tiel";"2017";"41488";"1262";"2,29";"42";"17,6";"40,0"
"Tilburg";"2017";"213804";"1824";"2,00";"967";"95,1";"37,7"
"Tubbergen";"2017";"21153";"144";"2,64";"148";"7,9";"47,9"
"Twenterand";"2017";"33845";"318";"2,57";"51";"13,0";"41,3"
"Tynaarlo";"2017";"33280";"232";"2,30";"111";"13,9";"46,8"
"Tytsjerksteradiel";"2017";"31963";"214";"2,32";"51";"13,2";"41,0"
"Ubbergen";"2017";"";"";"";"";"";""
"Uden";"2017";"41384";"617";"2,27";"198";"17,9";"42,7"
"Udenhout";"2017";"";"";"";"";"";""
"Uitgeest";"2017";"13465";"703";"2,41";"13";"5,5";"48,1"
"Uithoorn";"2017";"29201";"1602";"2,28";"167";"12,6";"45,5"
"Urk";"2017";"20220";"1757";"3,32";"77";"6,0";"47,8"
"Utrecht (gemeente)";"2017";"343038";"3644";"1,92";"2255";"151,6";"41,3"
"Utrechtse Heuvelrug";"2017";"49035";"371";"2,22";"65";"20,8";"52,3"
"Vaals";"2017";"9710";"406";"1,88";"6";"4,7";"34,7"
"Valburg";"2017";"";"";"";"";"";""
"Valkenburg (ZH.)";"2017";"";"";"";"";"";""
"Valkenburg aan de Geul";"2017";"16440";"448";"2,05";"0";"7,8";"40,4"
"Valkenisse";"2017";"";"";"";"";"";""
"Valkenswaard";"2017";"30516";"556";"2,15";"105";"13,9";"41,9"
"Veendam";"2017";"27527";"362";"2,18";"20";"12,3";"36,8"
"Veenendaal";"2017";"64277";"3299";"2,38";"393";"26,6";"42,3"
"Veere";"2017";"21900";"165";"2,30";"45";"9,3";"46,0"
"Veghel";"2017";"";"";"";"";"";""
"Veldhoven";"2017";"44724";"1411";"2,25";"124";"19,4";"45,9"
"Velsen";"2017";"67619";"1509";"2,20";"104";"30,1";"42,6"
"Venhuizen";"2017";"";"";"";"";"";""
"Venlo";"2017";"101059";"812";"2,11";"109";"46,1";"37,6"
"Venray";"2017";"43565";"267";"2,29";"96";"18,5";"42,1"
"Vessem, Wintelre en Knegsel";"2017";"";"";"";"";"";""
"Vianen";"2017";"19714";"503";"2,38";"177";"8,2";"44,4"
"Vierlingsbeek";"2017";"";"";"";"";"";""
"Vijfheerenlanden";"2017";"";"";"";"";"";""
"Vlaardingen";"2017";"71999";"3046";"2,08";"351";"33,7";"37,4"
"Vlagtwedde";"2017";"15908";"95";"2,17";"12";"7,0";"37,4"
"Vledder";"2017";"";"";"";"";"";""
"Vleuten-De Meern";"2017";"";"";"";"";"";""
"Vlieland";"2017";"1085";"31";"1,84";"1";"0,6";"."
"Vlijmen";"2017";"";"";"";"";"";""
"Vlissingen";"2017";"44394";"1296";"1,98";"204";"21,3";"36,0"
"Vlist";"2017";"";"";"";"";"";""
"Voerendaal";"2017";"12462";"395";"2,23";"59";"5,5";"44,6"
"Voorburg";"2017";"";"";"";"";"";""
"Voorhout";"2017";"";"";"";"";"";""
"Voorschoten";"2017";"25315";"2267";"2,26";"69";"10,9";"51,1"
"Voorst";"2017";"24199";"197";"2,37";"36";"9,9";"45,6"
"Vorden";"2017";"";"";"";"";"";""
"Vries";"2017";"";"";"";"";"";""
"Vriezenveen";"2017";"";"";"";"";"";""
"Vught";"2017";"26183";"782";"2,25";"64";"11,0";"52,5"
"Waadhoeke";"2017";"";"";"";"";"";""
"Waalre";"2017";"16898";"755";"2,30";"25";"7,3";"54,3"
"Waalwijk";"2017";"47410";"734";"2,22";"230";"20,9";"41,4"
"Waddinxveen";"2017";"26536";"949";"2,37";"406";"11,1";"45,0"
"Wageningen";"2017";"38458";"1264";"1,70";"236";"14,8";"39,9"
"Warmond";"2017";"";"";"";"";"";""
"Warnsveld";"2017";"";"";"";"";"";""
"Waspik";"2017";"";"";"";"";"";""
"Wassenaar";"2017";"26055";"509";"2,24";"8";"11,1";"71,6"
"Wateringen";"2017";"";"";"";"";"";""
"Waterland";"2017";"17290";"332";"2,30";"15";"7,4";"49,9"
"Weerselo";"2017";"";"";"";"";"";""
"Weert";"2017";"49574";"475";"2,20";"208";"21,9";"41,1"
"Weesp";"2017";"18751";"822";"2,11";"196";"8,6";"42,9"
"Wehl";"2017";"";"";"";"";"";""
"Werkendam";"2017";"26844";"263";"2,50";"209";"10,5";"46,1"
"Wervershoof";"2017";"";"";"";"";"";""
"West Betuwe";"2017";"";"";"";"";"";""
"West Maas en Waal";"2017";"18820";"244";"2,32";"54";"8,0";"44,2"
"Westerbork";"2017";"";"";"";"";"";""
"Westerhoven";"2017";"";"";"";"";"";""
"Wester-Koggenland";"2017";"";"";"";"";"";""
"Westerkwartier";"2017";"";"";"";"";"";""
"Westerschouwen";"2017";"";"";"";"";"";""
"Westerveld";"2017";"19084";"69";"2,21";"52";"8,3";"42,8"
"Westervoort";"2017";"14991";"2133";"2,25";"49";"6,6";"39,7"
"Westerwolde";"2017";"";"";"";"";"";""
"Westkapelle";"2017";"";"";"";"";"";""
"Westland";"2017";"105632";"1300";"2,36";"554";"43,9";"46,3"
"Weststellingwerf";"2017";"25608";"116";"2,25";"66";"11,1";"38,4"
"Westvoorne";"2017";"14257";"268";"2,19";"57";"6,4";"53,5"
"Wierden";"2017";"24225";"256";"2,56";"60";"9,4";"47,6"
"Wieringen";"2017";"";"";"";"";"";""
"Wieringermeer";"2017";"";"";"";"";"";""
"Wijchen";"2017";"40876";"617";"2,34";"303";"17,2";"44,2"
"Wijdemeren";"2017";"23447";"492";"2,25";"88";"10,2";"52,0"
"Wijhe";"2017";"";"";"";"";"";""
"De Wijk";"2017";"";"";"";"";"";""
"Wijk bij Duurstede";"2017";"23502";"493";"2,37";"34";"9,8";"47,7"
"Willemstad";"2017";"";"";"";"";"";""
"Winschoten";"2017";"";"";"";"";"";""
"Winsum";"2017";"13596";"134";"2,29";"8";"5,8";"40,2"
"Winterswijk";"2017";"28912";"210";"2,24";"34";"12,5";"39,5"
"Wisch";"2017";"";"";"";"";"";""
"Wittem";"2017";"";"";"";"";"";""
"Woensdrecht";"2017";"21837";"238";"2,27";"68";"9,4";"42,5"
"Woerden";"2017";"51513";"577";"2,37";"170";"21,2";"48,5"
"Wognum";"2017";"";"";"";"";"";""
"De Wolden";"2017";"23744";"106";"2,36";"60";"9,9";"44,9"
"Wormerland";"2017";"15820";"410";"2,27";"82";"6,9";"45,7"
"Woudenberg";"2017";"12701";"348";"2,54";"34";"4,9";"48,2"
"Woudrichem";"2017";"14539";"294";"2,45";"85";"5,8";"46,4"
"Wouw";"2017";"";"";"";"";"";""
"Wûnseradiel";"2017";"";"";"";"";"";""
"Wymbritseradiel";"2017";"";"";"";"";"";""
"Zaanstad";"2017";"153679";"2080";"2,21";"398";"68,2";"39,7"
"Zaltbommel";"2017";"27728";"348";"2,51";"186";"10,9";"46,2"
"Zandvoort";"2017";"16899";"526";"1,96";"0";"8,3";"42,2"
"Zederik";"2017";"13842";"188";"2,55";"27";"5,3";"48,6"
"Zeevang";"2017";"";"";"";"";"";""
"Zeewolde";"2017";"22457";"91";"2,39";"35";"9,1";"44,4"
"Zeist";"2017";"62830";"1295";"2,13";"287";"27,1";"50,2"
"Zelhem";"2017";"";"";"";"";"";""
"Zevenaar";"2017";"32379";"608";"2,18";"66";"14,6";"39,6"
"Zevenbergen";"2017";"";"";"";"";"";""
"Zevenhuizen-Moerkapelle";"2017";"";"";"";"";"";""
"Zierikzee";"2017";"";"";"";"";"";""
"Zijpe";"2017";"";"";"";"";"";""
"Zoetermeer";"2017";"124763";"3616";"2,23";"211";"54,9";"42,3"
"Zoeterwoude";"2017";"8367";"394";"2,37";"46";"3,3";"49,8"
"Zuidhorn";"2017";"18859";"150";"2,44";"81";"7,6";"43,9"
"Zuidlaren";"2017";"";"";"";"";"";""
"Zuidplas";"2017";"41468";"695";"2,43";"214";"16,8";"49,0"
"Zuidwolde";"2017";"";"";"";"";"";""
"Zundert";"2017";"21657";"179";"2,24";"98";"9,3";"44,1"
"Zutphen";"2017";"47340";"1156";"2,13";"187";"21,4";"37,8"
"Zwartewaterland";"2017";"22309";"270";"2,64";"101";"8,3";"45,4"
"Zwartsluis";"2017";"";"";"";"";"";""
"Zweeloo";"2017";"";"";"";"";"";""
"Zwijndrecht";"2017";"44417";"2183";"2,21";"33";"19,7";"40,9"
"Zwolle";"2017";"125548";"1128";"2,13";"460";"55,0";"40,4"
